程序		cx          q1
声明串		sm          q2
声明 		smc         q3
声明类型		smlx        q4
变量声明		blsm        q5
函数声明		hssm        q6
形参		xc          q7
参数表      	csb         q8
参数 		cs          q9
语句块 		yjk         w1
内部声明 	nbsm        w2
内部变量声明 nbblsm       w3
语句串 		yjc         w4
语句 		yj          w5
if语句 		ifyj        w6
while语句 	whileyj     w7
return语句  returnyj     w8
赋值调用语句 fzyj        w9
表达式 		bds         r1
加法表达式 	jfbds       r2
项 			x           r3
因子 		yz          r4
FUN 		FUN         r5
call  		call        r6
实参  		sc          r7
实参列表 	sclb        r8
relop       relop       r9
数字		sz          sz
运算符       + -         ss1
            * /         ss2

中间结果：
cons1 ~ cons20
